[2025-10-09 11:24:55] Host: DESKTOP-Q3S4N9F | LEVEL: HARD_ALARM | INFO: Disk Usage (%) on / | VALUE: 20.1 | HARD_LIMIT: 15.0
[2025-10-09 11:27:36] Host: DESKTOP-Q3S4N9F | LEVEL: HARD_ALARM | INFO: Disk Usage (%) on / | VALUE: 20.1 | HARD_LIMIT: 15.0
[2025-10-09 11:27:52] Host: DESKTOP-Q3S4N9F | LEVEL: HARD_ALARM | INFO: Disk Usage (%) on / | VALUE: 20.1 | HARD_LIMIT: 15.0
[2025-10-09 11:31:44] Host: DESKTOP-Q3S4N9F | LEVEL: HARD_ALARM | INFO: Disk Usage (%) on / | VALUE: 20.1 | HARD_LIMIT: 15.0
[2025-10-09 11:33:47] Host: DESKTOP-Q3S4N9F | LEVEL: HARD_ALARM | INFO: Disk Usage (%) on / | VALUE: 20.1 | HARD_LIMIT: 15.0
[2025-10-09 11:37:07] Host: DESKTOP-Q3S4N9F | LEVEL: HARD_ALARM | INFO: Disk Usage (%) on / | VALUE: 20.1 | HARD_LIMIT: 15.0
[2025-10-09 11:43:59] Host: DESKTOP-Q3S4N9F | LEVEL: HARD_ALARM | INFO: Disk Usage (%) on / | VALUE: 20.1 | HARD_LIMIT: 15.0
[2025-10-09 11:55:51] Host: DESKTOP-Q3S4N9F | LEVEL: HARD_ALARM | INFO: Disk Usage (%) on / | VALUE: 20.1 | HARD_LIMIT: 15.0
[2025-10-09 12:09:31] Host: DESKTOP-Q3S4N9F | LEVEL: HARD_ALARM | INFO: Disk Usage (%) on / | VALUE: 20.1 | HARD_LIMIT: 15.0
[2025-10-09 12:13:40] Host: DESKTOP-Q3S4N9F | LEVEL: HARD_ALARM | INFO: Disk Usage (%) on / | VALUE: 20.2 | HARD_LIMIT: 15.0
[2025-10-09 12:16:47] Host: DESKTOP-Q3S4N9F | LEVEL: HARD_ALARM | INFO: Disk Usage (%) on / | VALUE: 20.2 | HARD_LIMIT: 15.0
[2025-10-09 12:18:33] Host: DESKTOP-Q3S4N9F | LEVEL: HARD_ALARM | INFO: Disk Usage (%) on / | VALUE: 20.2 | HARD_LIMIT: 15.0
[2025-10-09 12:32:27] Host: DESKTOP-Q3S4N9F | LEVEL: HARD_ALARM | INFO: Disk Usage (%) on / | VALUE: 20.2 | HARD_LIMIT: 15.0
[2025-10-09 12:35:02] Host: DESKTOP-Q3S4N9F | LEVEL: HARD_ALARM | INFO: Disk Usage (%) on / | VALUE: 20.2 | HARD_LIMIT: 15.0
[2025-10-13 16:06:04] Host: Steve | LEVEL: HARD_ALARM | INFO: Disk Usage (%) on C: | VALUE: 96.7 | HARD_LIMIT: 15.0
[2025-10-13 16:09:49] Host: Steve | LEVEL: HARD_ALARM | INFO: Disk Usage (%) on C: | VALUE: 96.7 | HARD_LIMIT: 15.0
